gbest,cant_gen,gen_gbest,puntos,w,C1,C2
0.016600609,1548,1048,10,1000.0,1.5,3.0
0.013664246,1450,950,10,1000.0,1.5,3.0
0.011835098,773,273,10,1000.0,1.5,3.0
0.0045900345,1109,609,10,1000.0,1.5,3.0
0.0019273758,1359,859,10,1000.0,1.5,3.0
0.002521515,1350,850,10,1000.0,1.5,3.0
9.536743E-5,888,388,10,1000.0,1.5,3.0
0.004453659,1241,741,10,1000.0,1.5,3.0
7.953644E-4,1003,503,10,1000.0,1.5,3.0
0.01406765,1481,981,10,1000.0,1.5,3.0
0.001039505,986,486,25,1000.0,1.5,3.0
0.009068489,635,135,25,1000.0,1.5,3.0
0.0039920807,1230,730,25,1000.0,1.5,3.0
0.01043129,992,492,25,1000.0,1.5,3.0
0.010381699,1273,773,25,1000.0,1.5,3.0
0.004257202,818,318,25,1000.0,1.5,3.0
0.006917,886,386,25,1000.0,1.5,3.0
0.009171486,1114,614,25,1000.0,1.5,3.0
0.0025110245,628,128,25,1000.0,1.5,3.0
0.009440422,1076,576,25,1000.0,1.5,3.0
0.0048885345,973,473,50,1000.0,1.5,3.0
0.0070848465,1153,653,50,1000.0,1.5,3.0
8.869171E-5,633,133,50,1000.0,1.5,3.0
2.4414062E-4,777,277,50,1000.0,1.5,3.0
0.0024499893,868,368,50,1000.0,1.5,3.0
8.430481E-4,742,242,50,1000.0,1.5,3.0
0.0030927658,1044,544,50,1000.0,1.5,3.0
0.0030183792,1040,540,50,1000.0,1.5,3.0
9.803772E-4,686,186,50,1000.0,1.5,3.0
0.004722595,869,369,50,1000.0,1.5,3.0
0.007174492,807,307,75,1000.0,1.5,3.0
0.011419296,1049,549,75,1000.0,1.5,3.0
0.0018491745,1013,513,75,1000.0,1.5,3.0
6.9236755E-4,665,165,75,1000.0,1.5,3.0
0.0011444092,634,134,75,1000.0,1.5,3.0
0.0015172958,743,243,75,1000.0,1.5,3.0
0.0011367798,653,153,75,1000.0,1.5,3.0
0.0013628006,1050,550,75,1000.0,1.5,3.0
0.0073719025,661,161,75,1000.0,1.5,3.0
0.0018291473,978,478,75,1000.0,1.5,3.0
5.159378E-4,1017,517,100,1000.0,1.5,3.0
0.0015687943,1073,573,100,1000.0,1.5,3.0
6.532669E-4,941,441,100,1000.0,1.5,3.0
7.43866E-5,892,392,100,1000.0,1.5,3.0
0.0019140244,768,268,100,1000.0,1.5,3.0
5.7029724E-4,1477,977,100,1000.0,1.5,3.0
0.0069265366,667,167,100,1000.0,1.5,3.0
2.7561188E-4,611,111,100,1000.0,1.5,3.0
8.8119507E-4,651,151,100,1000.0,1.5,3.0
9.355545E-4,855,355,100,1000.0,1.5,3.0
